,G,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,GmSc,"""+/-""",Win,Winby,minutes,age_y
1371,1372,16,29,0.552,5,11,0.455,5,10,0.5,1,9,12,0,1,6,3,42,31.4,-9,0,-13,38.7666667,33.37260274
1372,1373,8,12,0.667,3,3,1,8,10,0.8,1,4,12,2,2,3,3,27,30.5,31,1,30,37.5,33.38356164
1373,1374,17,28,0.607,1,4,0.25,9,13,0.692,1,4,3,2,0,7,3,44,27.4,9,1,9,41.8833333,33.3890411
1374,1375,11,22,0.5,1,6,0.167,3,4,0.75,0,10,5,1,0,6,2,26,15.3,-11,0,-13,39.2666667,33.39452055
1375,1376,17,33,0.515,5,7,0.714,7,11,0.636,3,8,9,3,1,3,2,46,38.8,15,1,10,46.1,33.4
1376,1377,12,24,0.5,3,8,0.375,8,11,0.727,0,15,9,0,2,8,4,35,24.4,8,1,8,48,33.40547945
1377,1378,19,32,0.594,3,7,0.429,10,11,0.909,4,4,8,1,1,5,2,51,41.3,-13,0,-10,47.5333333,33.41643836
1378,1379,10,20,0.5,2,4,0.5,7,9,0.778,1,8,13,2,0,5,2,29,26.6,-18,0,-19,43.85,33.42465753
1379,1380,13,28,0.464,1,6,0.167,6,7,0.857,3,7,11,2,2,4,2,33,28.7,-8,0,-8,46.8666667,33.43287671
1380,1381,7,13,0.538,0,1,0,9,11,0.818,1,6,8,0,1,6,5,23,16.7,-21,0,-23,40.5666667,33.43835616
1381,1382,9,16,0.563,0,4,0,8,9,0.889,2,10,6,1,0,6,3,26,20.4,-4,0,-9,37.3333333,33.8
1382,1383,9,22,0.409,1,7,0.143,5,7,0.714,0,5,5,2,1,1,0,24,18.1,-13,0,-9,38.8666667,33.80547945
1383,1384,11,25,0.44,2,8,0.25,8,11,0.727,2,6,14,1,1,5,2,32,26.6,-5,0,-1,42.8666667,33.8109589
1384,1385,7,16,0.438,1,5,0.2,4,4,1,0,7,10,3,0,0,1,19,22.3,19,1,18,28.0666667,33.81643836
1385,1386,10,17,0.588,1,5,0.2,7,10,0.7,0,11,11,3,0,2,3,28,29.7,13,1,7,34.6666667,33.81917808
1386,1387,13,21,0.619,2,6,0.333,7,8,0.875,1,10,4,2,0,4,3,35,28.4,-1,0,-4,34.3,33.82465753
1387,1388,11,23,0.478,3,6,0.5,4,5,0.8,3,7,8,2,2,5,2,29,24.3,-6,0,-4,36.2666667,33.83013699
1388,1389,11,19,0.579,2,3,0.667,5,7,0.714,0,5,6,3,0,3,3,29,23.8,5,1,1,38.5666667,33.83561644
1389,1390,9,20,0.45,1,5,0.2,9,11,0.818,0,5,7,0,2,3,1,28,21.2,-22,1,4,31.35,33.84383562
1390,1391,6,12,0.5,2,3,0.667,4,7,0.571,0,2,6,0,1,3,3,18,12.1,-16,0,-14,28.2833333,33.84657534
