,G,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,GmSc,"""+/-""",Win,Winby,minutes,age_y
214,215,9,22,0.409,0,3,0,8,10,0.8,1,3,6,0,1,5,0,26,14.9,-10,0,-12,46.5666667,21.16164384
215,216,7,21,0.333,1,4,0.25,4,7,0.571,1,6,12,1,2,5,1,19,13.8,-5,0,-7,44.6666667,21.16712329
216,217,11,27,0.407,0,3,0,11,13,0.846,2,9,8,0,1,5,4,33,21.5,4,1,1,46.6166667,21.16986301
217,218,15,28,0.536,1,3,0.333,6,6,1,0,9,7,2,0,3,3,37,28.8,23,1,19,46.45,21.17808219
218,219,5,17,0.294,2,6,0.333,5,6,0.833,1,11,8,1,0,2,2,17,14.5,14,1,7,43.7333333,21.18356164
219,220,13,24,0.542,1,3,0.333,8,12,0.667,1,5,6,1,0,0,2,35,28.4,-4,1,1,44.2833333,21.18630137
220,221,9,22,0.409,2,6,0.333,5,6,0.833,2,5,2,2,1,5,0,25,14.8,-18,0,-29,38.9666667,21.19178082
221,222,11,27,0.407,1,6,0.167,24,28,0.857,2,5,4,0,1,5,2,47,31.5,-7,0,-6,45.2833333,21.19726027
222,223,14,27,0.519,0,2,0,8,8,1,1,11,5,0,2,4,1,36,27.2,-8,0,-4,44.9666667,21.20273973
223,224,9,23,0.391,1,6,0.167,8,10,0.8,2,7,5,6,0,1,2,27,24.9,14,1,15,44.1666667,21.2109589
224,225,10,24,0.417,3,4,0.75,6,10,0.6,1,7,7,1,0,7,3,29,15.1,0,1,1,46.8666667,21.21643836
225,226,10,21,0.476,1,5,0.2,16,23,0.696,0,11,12,0,1,5,4,37,29.3,5,1,2,50.1833333,21.22465753
226,227,13,26,0.5,4,8,0.5,6,8,0.75,3,4,8,2,3,0,2,36,34.4,8,1,12,44.85,21.23013699
227,228,14,34,0.412,0,4,0,8,11,0.727,3,3,5,2,0,2,2,36,22.3,4,1,2,48.9333333,21.23561644
228,229,16,23,0.696,4,7,0.571,10,13,0.769,0,5,4,3,0,2,3,46,39.2,16,1,13,43.4333333,21.24383562
229,230,16,25,0.64,2,6,0.333,13,14,0.929,4,8,9,2,0,4,3,47,43.8,13,1,7,45.4833333,21.25205479
230,231,13,24,0.542,2,5,0.4,7,9,0.778,1,11,8,1,2,3,5,35,29.6,2,1,4,41.2833333,21.25479452
231,232,13,22,0.591,4,10,0.4,7,9,0.778,1,3,7,4,0,3,4,37,31.9,15,1,33,34.6666667,21.26027397
232,233,12,24,0.5,4,7,0.571,8,14,0.571,0,2,7,3,0,5,3,36,23.9,-2,0,-2,44.8,21.2630137
233,234,12,26,0.462,0,3,0,13,16,0.813,1,4,7,1,0,6,5,37,22.2,5,1,6,44.15,21.27123288
234,235,12,24,0.5,0,3,0,8,12,0.667,1,3,6,0,0,2,1,32,21.8,3,1,2,42.1166667,21.27671233
235,236,8,18,0.444,0,3,0,6,8,0.75,0,3,1,0,0,2,0,22,11.4,-11,0,-23,31.35,21.28219178
236,237,8,16,0.5,0,0,,1,2,0.5,0,5,4,1,1,3,2,17,10.8,-17,0,-12,29.5333333,21.29315068
237,238,12,27,0.444,1,4,0.25,7,11,0.636,3,8,11,0,0,4,3,32,23.3,11,1,11,48,21.30958904
238,239,7,25,0.28,1,6,0.167,11,15,0.733,2,7,2,2,3,10,5,26,6.7,-2,0,-5,43.4666667,21.31780822
239,240,16,28,0.571,3,5,0.6,6,9,0.667,1,4,3,2,0,4,3,41,27.4,1,1,1,47.6166667,21.3260274
240,241,13,23,0.565,7,12,0.583,5,7,0.714,1,5,5,0,0,7,5,38,23,-16,0,-10,45.3333333,21.33150685
241,242,14,23,0.609,0,1,0,17,18,0.944,5,2,6,2,0,4,5,45,38.4,-4,1,1,46.1166667,21.33972603
242,243,15,25,0.6,1,6,0.167,1,3,0.333,0,7,7,2,1,5,4,32,22.8,1,1,1,53,21.34520548
243,244,9,18,0.5,2,5,0.4,2,2,1,1,3,4,0,0,4,3,22,12.2,-31,0,-27,36,21.35068493
244,245,11,23,0.478,2,5,0.4,6,8,0.75,2,12,7,0,0,3,4,30,22.8,-4,0,-6,47.5333333,21.35616438
245,246,9,18,0.5,1,4,0.25,2,2,1,0,10,10,4,1,4,2,21,21.9,9,1,9,48,21.36712329
246,247,8,23,0.348,1,2,0.5,5,10,0.5,1,7,9,2,2,8,3,22,10.4,2,1,2,48,21.37260274
247,248,13,30,0.433,1,4,0.25,5,7,0.714,3,2,5,2,1,2,3,32,21.1,2,1,2,46.8333333,21.37808219
248,249,8,20,0.4,1,5,0.2,15,18,0.833,0,11,5,1,1,7,2,32,20.7,-2,0,-2,47.8333333,21.38356164
249,250,11,24,0.458,0,4,0,5,8,0.625,3,5,2,1,0,3,2,27,15.6,-16,0,-18,46.75,21.3890411
250,251,11,24,0.458,2,4,0.5,2,6,0.333,3,7,5,0,2,5,2,26,15.3,3,1,3,40.6333333,21.83835616
251,252,14,26,0.538,1,2,0.5,6,11,0.545,1,9,4,1,1,2,3,35,25.1,6,1,7,41.8833333,21.84383562
252,253,3,13,0.231,1,3,0.333,9,10,0.9,4,5,7,0,1,2,0,16,15.6,-3,0,-4,38.1,21.84657534
253,254,13,26,0.5,3,8,0.375,5,11,0.455,0,7,6,2,1,2,1,34,25.2,-3,0,-9,47.2833333,21.85479452
254,255,6,13,0.462,0,1,0,7,8,0.875,0,4,12,3,2,3,0,19,22.9,26,1,19,37.8333333,21.86027397
255,256,9,17,0.529,1,4,0.25,19,23,0.826,1,7,5,3,0,2,4,38,33.8,6,1,1,43.5333333,21.86575342
256,257,10,19,0.526,3,4,0.75,6,9,0.667,0,4,6,2,1,3,2,29,22.8,10,1,6,41.3333333,21.87123288
257,258,10,15,0.667,3,6,0.5,9,11,0.818,0,7,7,2,1,4,2,32,29.6,16,1,13,38.9,21.87671233
258,259,12,24,0.5,2,5,0.4,11,14,0.786,2,7,6,1,2,4,1,37,29.5,12,1,16,40.5,21.88219178
259,260,8,20,0.4,0,1,0,4,5,0.8,2,3,4,2,0,3,2,20,12.1,-22,0,-12,33.3333333,21.88493151
260,261,7,21,0.333,1,5,0.2,0,1,0,0,1,9,3,1,3,1,15,9.6,3,1,3,41.9833333,21.89315068
261,262,11,24,0.458,2,7,0.286,6,9,0.667,0,10,8,4,0,2,1,30,26.6,-7,0,-8,39.9166667,21.89589041
262,263,6,14,0.429,2,2,1,16,20,0.8,1,6,5,1,0,3,6,30,22.6,1,0,-10,42.4333333,21.90136986
263,264,10,20,0.5,1,4,0.25,4,7,0.571,0,4,11,0,1,7,4,25,14.8,2,1,13,40.8333333,21.90410959
264,265,10,22,0.455,0,5,0,7,11,0.636,1,6,6,0,1,5,1,27,16,-4,0,-3,41.1833333,21.91506849
265,266,12,23,0.522,1,3,0.333,6,10,0.6,2,5,8,3,2,4,4,31,25.4,8,1,11,42.9166667,21.92054795
266,267,7,22,0.318,2,6,0.333,5,7,0.714,1,4,4,0,0,3,2,21,8.5,-13,0,-18,35.7333333,21.92328767
267,268,11,18,0.611,1,2,0.5,3,5,0.6,1,5,10,1,0,4,1,26,22.8,2,1,4,40.5,21.93424658
268,269,11,16,0.688,1,3,0.333,4,6,0.667,0,7,6,1,1,3,0,27,24.4,28,1,32,31.8666667,21.94246575
269,270,7,18,0.389,0,3,0,1,1,1,3,4,6,4,0,3,1,15,13.3,-4,0,-6,41.6,21.94794521
270,271,6,17,0.353,0,2,0,10,11,0.909,1,7,7,1,1,6,1,22,15.1,3,1,3,41.6166667,21.95342466
271,272,9,14,0.643,2,3,0.667,2,3,0.667,0,9,7,1,0,4,3,22,18.8,22,1,22,33.6166667,21.95890411
272,273,10,19,0.526,2,5,0.4,7,9,0.778,1,4,5,0,1,4,4,29,19.4,-7,0,-7,41.05,21.96164384
273,274,10,22,0.455,1,3,0.333,16,21,0.762,0,1,8,2,1,3,4,37,27.6,8,0,-2,40.1833333,21.97260274
274,275,9,20,0.45,0,1,0,8,8,1,2,8,5,2,0,1,1,26,23.5,-20,0,-16,43,21.97534247
275,276,13,21,0.619,2,3,0.667,4,10,0.4,0,7,1,0,0,7,1,32,15.5,3,1,3,42.9,21.98082192
276,277,10,25,0.4,1,2,0.5,6,8,0.75,1,8,3,1,2,1,1,27,18.9,23,1,13,39.5166667,21.99178082
277,278,11,21,0.524,2,6,0.333,8,13,0.615,1,3,5,1,1,3,5,32,21.5,11,1,10,44.0166667,21.99726027
278,279,15,26,0.577,3,4,0.75,0,3,0,2,7,3,1,0,5,4,33,19.6,6,0,-7,40.3166667,22
279,280,7,17,0.412,0,1,0,5,11,0.455,0,5,5,2,0,3,1,19,11.1,6,1,4,40.2333333,22.00821918
280,281,11,20,0.55,2,3,0.667,8,10,0.8,1,5,4,3,1,3,0,32,27.3,3,1,3,44.7833333,22.0109589
281,282,3,13,0.231,0,4,0,2,2,1,0,5,9,1,0,2,1,8,6.5,9,1,9,42.8333333,22.01643836
282,283,9,21,0.429,1,3,0.333,0,0,,0,13,4,3,3,5,4,19,13.1,4,1,5,44,22.01917808
283,284,14,26,0.538,3,7,0.429,3,3,1,1,3,7,2,1,3,3,34,26.4,13,1,10,43.4166667,22.02739726
284,285,15,28,0.536,3,9,0.333,1,2,0.5,2,4,6,1,0,5,2,34,22,-20,0,-19,38.8166667,22.03287671
285,286,10,23,0.435,0,1,0,8,8,1,1,5,6,1,0,2,4,28,19.7,14,1,12,42.0333333,22.03835616
286,287,8,21,0.381,1,7,0.143,13,15,0.867,1,6,8,2,1,4,0,30,24.5,-7,0,-5,43.5666667,22.04657534
287,288,8,21,0.381,1,4,0.25,6,13,0.462,3,3,2,1,0,4,0,23,10.1,-24,0,-18,35.1166667,22.04931507
288,289,9,23,0.391,0,1,0,12,14,0.857,2,8,10,2,0,3,2,30,25.7,-3,0,-11,43.8666667,22.05479452
289,290,14,22,0.636,2,7,0.286,2,5,0.4,0,7,5,4,0,9,2,32,20.8,5,1,2,45.8666667,22.05753425
290,291,6,15,0.4,0,3,0,6,13,0.462,0,4,5,3,0,2,2,18,12,-2,0,-11,43.3833333,22.0630137
291,292,14,26,0.538,3,8,0.375,8,13,0.615,2,8,5,1,0,4,2,39,27.9,-8,0,-3,53.1666667,22.06849315
292,293,12,22,0.545,3,6,0.5,3,6,0.5,2,7,5,2,0,3,2,30,23.4,-8,0,-15,42.0666667,22.07945205
293,294,6,18,0.333,2,7,0.286,3,8,0.375,1,5,9,1,0,2,4,17,10.7,-12,0,-3,35.5833333,22.09041096
294,295,7,13,0.538,0,1,0,4,8,0.5,1,9,3,2,0,1,1,18,16.2,17,1,20,35.65,22.09315068
295,296,9,22,0.409,1,4,0.25,2,3,0.667,0,5,6,2,0,3,2,21,12.7,-12,0,-12,43.2833333,22.09863014
296,297,4,13,0.308,1,2,0.5,2,2,1,0,7,3,1,1,2,1,11,7,15,1,17,36.3166667,22.10684932
297,298,12,22,0.545,1,4,0.25,4,8,0.5,1,6,6,0,0,2,1,29,21.1,22,1,24,41.1333333,22.11232877
298,299,5,16,0.313,0,2,0,8,12,0.667,1,7,5,1,1,1,3,18,13,3,1,9,38.35,22.11780822
299,300,9,25,0.36,0,3,0,5,9,0.556,3,7,4,1,3,0,2,23,16.8,10,0,-1,42.65,22.1260274
300,301,10,16,0.625,0,1,0,18,22,0.818,0,4,3,3,0,3,4,38,30.9,4,1,6,39.8,22.12876712
301,302,12,25,0.48,0,1,0,5,5,1,0,4,2,1,1,3,3,29,16.4,5,1,1,36.8166667,22.14520548
302,303,13,28,0.464,1,4,0.25,2,8,0.25,3,4,2,3,0,3,1,29,16.5,3,0,-6,42.9666667,22.14794521
303,304,10,22,0.455,2,5,0.4,7,12,0.583,0,3,7,0,1,2,2,29,19.3,6,0,-5,41.5,22.15616438
304,305,14,22,0.636,3,4,0.75,4,7,0.571,1,4,8,2,1,4,1,35,29.8,16,1,8,42.8333333,22.16164384
305,306,17,27,0.63,1,4,0.25,4,8,0.5,0,3,5,0,0,2,2,39,26.9,-2,0,-3,39.9666667,22.16712329
306,307,10,20,0.5,1,3,0.333,15,17,0.882,2,3,6,0,3,2,1,36,31.4,23,1,23,37.3666667,22.17260274
307,308,12,24,0.5,3,6,0.5,5,9,0.556,1,11,8,0,0,3,2,32,24.2,-1,1,6,41.6333333,22.17808219
308,309,17,31,0.548,1,3,0.333,6,8,0.75,2,5,8,3,1,4,4,41,31.9,8,1,4,50.6666667,22.18356164
309,310,12,22,0.545,4,6,0.667,4,4,1,0,8,9,3,1,6,5,32,25.8,15,1,2,36.5,22.19178082
310,311,10,22,0.455,2,6,0.333,4,5,0.8,3,4,6,3,1,2,2,26,22.6,23,1,11,38.7,22.19452055
311,312,11,17,0.647,4,7,0.571,3,6,0.5,1,5,4,3,0,2,0,29,26.3,35,1,22,29.5833333,22.20273973
312,313,8,21,0.381,0,6,0,8,13,0.615,2,15,9,2,2,4,3,24,20.9,7,1,9,43.6666667,22.2109589
313,314,12,31,0.387,2,9,0.222,11,12,0.917,2,4,6,1,3,3,4,37,25,-5,0,-8,46.55,22.21917808
314,315,12,28,0.429,1,6,0.167,6,7,0.857,0,6,4,2,3,6,3,31,17.3,-6,0,-8,45.45,22.22191781
315,316,8,16,0.5,0,1,0,5,6,0.833,1,2,10,2,0,1,1,21,21.5,19,1,22,38.2666667,22.22739726
316,317,8,19,0.421,1,6,0.167,1,1,1,0,3,8,1,0,5,4,18,8.8,-13,0,-12,40.8166667,22.23287671
317,318,8,18,0.444,0,3,0,10,14,0.714,1,6,6,2,0,3,4,26,19.1,11,1,11,40.1333333,22.23835616
318,319,6,20,0.3,2,5,0.4,10,14,0.714,1,5,7,2,0,3,3,24,15.7,3,0,-4,43.9166667,22.24109589
319,320,14,25,0.56,0,3,0,11,13,0.846,1,4,9,3,0,7,4,39,28.9,4,1,4,47.4,22.24931507
320,321,13,24,0.542,0,2,0,5,5,1,2,10,6,4,1,2,1,31,30.3,21,1,13,41.8166667,22.25753425
321,322,11,21,0.524,2,5,0.4,11,13,0.846,2,7,5,0,0,4,4,35,25.3,3,0,-4,48.6,22.2630137
322,323,7,23,0.304,0,3,0,11,14,0.786,0,6,5,1,1,2,3,25,14.3,5,1,5,44.4166667,22.26575342
323,324,5,16,0.313,1,4,0.25,9,11,0.818,1,4,6,1,0,5,2,20,11.3,-11,0,-5,43.1,22.27123288
324,325,15,27,0.556,0,1,0,5,9,0.556,3,5,4,2,1,2,1,35,27.2,21,1,18,35.25,22.28219178
325,326,8,16,0.5,3,6,0.5,4,5,0.8,1,4,6,1,1,0,1,23,22,25,1,34,31.95,22.28767123
326,327,7,15,0.467,0,2,0,4,7,0.571,1,4,6,0,0,1,3,18,13,-4,1,6,36.05,22.29589041
327,328,9,18,0.5,1,4,0.25,5,10,0.5,0,5,9,2,0,2,2,24,20,22,1,13,39.9666667,22.29863014
328,329,7,14,0.5,0,2,0,9,11,0.818,2,7,7,2,0,1,1,23,24.2,17,1,15,44.3166667,22.30958904
329,330,8,22,0.364,0,3,0,11,13,0.846,4,4,7,1,2,2,2,27,22.5,12,1,7,45,22.31780822
330,331,11,22,0.5,3,5,0.6,5,7,0.714,0,6,9,1,0,2,3,30,24.1,6,1,6,46.0333333,22.3260274
331,332,8,22,0.364,1,5,0.2,14,17,0.824,3,8,7,3,1,2,3,31,27.5,12,1,7,46.1833333,22.33150685
332,333,8,21,0.381,1,4,0.25,4,6,0.667,2,9,7,1,1,3,2,21,15.6,6,1,4,46.0166667,22.34794521
333,334,12,24,0.5,3,7,0.429,9,13,0.692,0,1,12,3,0,2,2,36,31.3,8,1,10,45.8166667,22.35342466
334,335,5,16,0.313,1,5,0.2,7,7,1,0,6,12,0,0,2,2,18,16.2,-12,0,-11,44.1333333,22.36438356
335,336,9,16,0.563,2,3,0.667,10,15,0.667,0,9,7,0,0,3,1,30,24.6,9,1,2,46.3333333,22.36986301
336,337,5,14,0.357,0,2,0,10,11,0.909,3,6,5,2,1,5,4,20,15.3,-15,0,-11,42.7833333,22.37534247
337,338,8,20,0.4,1,5,0.2,6,9,0.667,1,7,8,1,0,2,4,23,16.8,26,1,16,38.8833333,22.38082192
338,339,5,15,0.333,0,0,,0,0,,1,9,9,4,1,2,1,10,13.5,-5,0,-3,45.3666667,22.3890411
339,340,7,19,0.368,0,1,0,5,7,0.714,0,6,7,3,0,6,1,19,11,-6,0,-3,44.6833333,22.39726027
340,341,12,21,0.571,2,3,0.667,6,9,0.667,1,8,9,2,0,3,2,32,28.5,6,1,6,46.1166667,22.40547945
341,342,8,19,0.421,1,5,0.2,8,9,0.889,0,7,11,3,0,3,0,25,24.3,-4,1,4,44.2833333,22.4109589
342,343,18,33,0.545,2,3,0.667,10,14,0.714,3,6,7,2,0,2,3,48,38.1,2,1,2,50.3,22.41643836
343,344,3,11,0.273,0,2,0,14,19,0.737,2,12,8,2,2,3,1,20,22.1,13,1,16,46.2,22.42191781
344,345,4,16,0.25,2,6,0.333,4,4,1,1,6,4,1,1,6,1,14,5,-5,0,-9,44,22.43561644
345,346,9,21,0.429,0,2,0,7,11,0.636,3,4,6,1,0,6,3,25,13.6,-5,0,-11,38,22.44383562
346,347,9,23,0.391,0,5,0,7,8,0.875,0,8,7,2,1,5,3,25,15.9,4,0,-3,41.9833333,22.44931507
347,348,10,30,0.333,2,7,0.286,2,6,0.333,0,6,10,0,0,6,1,24,7.8,2,0,-1,46.4833333,22.45479452
348,349,2,11,0.182,0,2,0,6,10,0.6,1,4,4,1,0,5,4,10,0.6,-12,0,-18,36.15,22.83561644
349,350,13,28,0.464,3,5,0.6,16,22,0.727,3,4,7,3,1,3,1,45,36.7,4,1,4,44.4166667,22.84109589
350,351,11,26,0.423,3,5,0.6,2,2,1,1,4,8,2,4,3,0,27,22.5,-18,0,-11,43.2166667,22.84657534
351,352,9,16,0.563,1,2,0.5,5,7,0.714,1,12,9,0,3,2,1,24,25.9,4,1,4,41.85,22.85205479
352,353,12,27,0.444,1,4,0.25,7,15,0.467,2,13,13,3,2,4,4,32,27.9,4,0,-2,40.75,22.85479452
353,354,10,19,0.526,0,2,0,6,8,0.75,0,4,4,1,1,1,1,26,20.2,-1,1,2,43.85,22.86027397
354,355,9,21,0.429,0,2,0,4,8,0.5,1,4,8,6,1,5,3,22,17.3,11,1,8,35.9166667,22.86575342
355,356,9,16,0.563,1,3,0.333,8,14,0.571,0,1,4,2,0,4,3,27,16.9,-13,0,-22,33.7833333,22.86849315
356,357,15,27,0.556,2,4,0.5,7,9,0.778,4,9,14,0,2,4,1,39,37.6,2,0,-1,47.2333333,22.8739726
357,358,13,27,0.481,1,3,0.333,13,15,0.867,2,8,9,0,3,5,3,40,31.5,13,1,5,40.2666667,22.87945205
358,359,11,22,0.5,1,7,0.143,11,12,0.917,0,7,7,1,1,3,4,34,26.7,-2,0,-4,44.1,22.89041096
359,360,17,26,0.654,6,10,0.6,5,8,0.625,2,6,5,3,2,3,2,45,39.7,14,1,11,39.05,22.89315068
360,361,14,29,0.483,2,8,0.25,7,8,0.875,3,9,12,3,1,4,3,37,33.6,7,1,3,44.6833333,22.90136986
361,362,10,21,0.476,1,6,0.167,9,15,0.6,3,8,10,4,1,2,1,30,30.7,9,1,5,35.7833333,22.90410959
362,363,11,25,0.44,2,8,0.25,14,15,0.933,0,4,13,2,2,3,2,38,34.4,14,1,5,45.7666667,22.90958904
363,364,5,11,0.455,0,2,0,5,9,0.556,0,1,3,0,0,0,1,15,9.7,-2,0,-35,19.5166667,22.91232877
364,365,5,9,0.556,0,1,0,7,10,0.7,1,2,5,1,1,4,2,17,13.2,27,1,13,22.6166667,22.94794521
365,366,12,25,0.48,3,9,0.333,2,3,0.667,0,6,8,2,0,6,3,29,18.1,6,0,-8,41.15,22.95616438
366,367,10,18,0.556,0,1,0,1,1,1,0,6,6,0,1,3,1,21,15.7,5,0,-6,41.7666667,22.95890411
367,368,10,25,0.4,0,5,0,11,13,0.846,1,7,5,1,0,2,3,31,20.8,6,1,5,50.2166667,22.96438356
368,369,12,21,0.571,3,6,0.5,5,6,0.833,1,7,6,6,0,4,1,32,30.3,-9,0,-18,36.8666667,22.96986301
369,370,12,29,0.414,0,3,0,9,11,0.818,4,6,5,1,1,3,3,33,22.3,-7,1,4,38.4666667,22.97260274
370,371,8,20,0.4,0,2,0,9,13,0.692,2,3,8,1,1,3,2,25,18.4,-12,0,-9,40.85,22.98082192
371,372,9,19,0.474,0,3,0,7,11,0.636,0,6,12,1,1,2,3,25,22.4,18,1,14,38.6,22.98630137
372,373,9,21,0.429,1,4,0.25,5,10,0.5,4,4,7,3,0,3,5,24,17.8,5,1,7,36.3166667,22.99178082
373,374,8,21,0.381,1,4,0.25,4,6,0.667,2,3,6,1,0,4,1,21,11.8,-18,0,-10,42.35,22.99726027
374,375,13,22,0.591,1,3,0.333,9,11,0.818,1,4,6,2,1,2,1,36,31.4,7,1,4,40.0833333,23.00821918
375,376,7,18,0.389,1,6,0.167,9,12,0.75,1,7,10,5,1,3,1,24,25.1,7,1,4,45.35,23.01369863
376,377,14,29,0.483,4,8,0.5,7,12,0.583,3,8,8,0,0,1,1,39,31,-1,1,3,45.7333333,23.01917808
377,378,8,18,0.444,0,3,0,6,6,1,2,6,3,2,0,4,2,22,15.1,13,1,16,35.1666667,23.02465753
378,379,13,22,0.591,0,4,0,5,9,0.556,3,7,6,3,1,3,3,31,27.1,-7,0,-9,43.3833333,23.02739726
379,380,10,20,0.5,2,7,0.286,9,15,0.6,5,14,8,4,3,8,3,31,28.8,-2,1,7,49.6,23.03287671
380,381,18,28,0.643,6,12,0.5,9,16,0.563,3,5,9,3,1,4,1,51,45,10,1,8,47.1666667,23.04383562
381,382,9,24,0.375,1,5,0.2,8,12,0.667,3,6,7,0,2,3,1,27,19,-11,1,2,38.9,23.04931507
382,383,11,26,0.423,1,4,0.25,5,5,1,1,2,5,4,1,5,4,28,17.1,12,1,7,39.6666667,23.06027397
383,384,7,13,0.538,1,3,0.333,8,9,0.889,2,6,8,2,1,0,2,23,27,31,1,36,31.1333333,23.06575342
384,385,14,30,0.467,0,1,0,8,10,0.8,2,5,5,2,0,1,3,36,26,-12,0,-2,39.4333333,23.07123288
385,386,16,32,0.5,1,5,0.2,8,12,0.667,3,6,4,2,0,5,4,41,25.5,-3,1,3,44.1333333,23.07671233
386,387,13,29,0.448,3,6,0.5,8,12,0.667,2,12,4,2,2,4,3,37,26.3,3,1,1,43.8833333,23.08493151
387,388,8,19,0.421,1,4,0.25,11,16,0.688,0,11,7,2,1,3,2,28,23,15,1,14,43.8,23.09315068
388,389,11,21,0.524,4,8,0.5,7,10,0.7,1,8,12,5,2,7,5,33,30.4,12,1,1,42.4,23.10136986
389,390,12,23,0.522,2,5,0.4,6,11,0.545,1,6,6,2,2,3,0,32,25.8,-11,0,-15,41.2166667,23.10684932
390,391,11,24,0.458,0,3,0,4,4,1,4,7,7,2,1,1,2,26,24.3,5,1,5,44,23.10958904
391,392,11,23,0.478,2,5,0.4,6,6,1,1,4,3,2,0,5,1,30,18.9,-25,0,-30,32.6,23.11506849
392,393,8,15,0.533,1,2,0.5,12,15,0.8,1,6,10,3,1,5,3,29,27.5,10,1,7,43.85,23.11780822
393,394,17,31,0.548,1,5,0.2,4,7,0.571,2,4,9,0,1,3,4,39,27.9,-4,0,-7,42.7333333,23.12328767
394,395,7,18,0.389,4,7,0.571,8,11,0.727,2,11,11,2,0,5,2,26,23.6,-8,0,-8,42.1333333,23.13972603
395,396,11,22,0.5,1,5,0.2,8,12,0.667,2,12,12,2,1,4,1,31,30.1,14,1,9,43.2333333,23.14246575
396,397,11,20,0.55,2,6,0.333,9,14,0.643,3,12,8,1,1,3,1,33,31,2,1,1,44.5333333,23.14794521
397,398,10,17,0.588,1,4,0.25,4,5,0.8,1,6,11,3,1,6,2,25,23.8,19,1,20,39.0333333,23.15342466
398,399,16,24,0.667,1,3,0.333,2,5,0.4,0,4,6,0,1,2,3,35,26.3,-2,0,-3,37.8333333,23.15890411
399,400,7,24,0.292,1,6,0.167,11,15,0.733,4,4,4,0,0,3,2,26,13.4,-13,0,-5,39,23.16164384
400,401,11,22,0.5,1,4,0.25,7,9,0.778,2,6,13,2,0,3,2,30,28.7,12,1,8,43.5833333,23.16712329
401,402,15,29,0.517,0,5,0,7,8,0.875,3,3,6,1,0,3,1,37,27.1,21,1,9,39.85,23.17260274
402,403,16,30,0.533,7,13,0.538,11,16,0.688,1,7,10,4,0,2,3,50,44,11,1,14,43.8333333,23.18082192
403,404,13,27,0.481,2,8,0.25,11,12,0.917,0,3,1,1,3,4,1,39,25.2,-21,0,-11,37.9166667,23.18356164
404,405,11,24,0.458,5,8,0.625,11,12,0.917,4,7,4,1,2,2,2,38,32.5,15,1,8,38.2166667,23.1890411
405,406,7,18,0.389,1,4,0.25,9,13,0.692,1,9,11,1,2,4,0,24,22.1,10,1,8,43.6833333,23.19452055
406,407,12,23,0.522,2,7,0.286,16,23,0.696,3,8,7,1,2,6,5,42,31.7,-4,0,-5,45.6833333,23.2
407,408,9,22,0.409,1,7,0.143,6,8,0.75,2,5,7,0,0,7,4,25,11.6,3,0,-2,43.3833333,23.20273973
408,409,11,24,0.458,1,3,0.333,10,16,0.625,2,5,10,1,2,1,2,33,28.7,17,1,7,41.6666667,23.2109589
409,410,11,22,0.5,1,4,0.25,7,11,0.636,2,7,6,0,1,3,1,30,22.4,-7,0,-14,42.2333333,23.21369863
410,411,11,19,0.579,2,5,0.4,6,7,0.857,3,4,6,1,1,0,0,30,29.9,15,1,16,41.0666667,23.21917808
411,412,14,22,0.636,1,3,0.333,0,0,,0,12,5,1,0,5,1,29,21.9,-3,1,7,41.4,23.22465753
412,413,9,25,0.36,3,9,0.333,8,10,0.8,4,7,4,2,0,4,3,29,18.8,-12,0,-10,38.5833333,23.22739726
413,414,6,14,0.429,1,2,0.5,8,10,0.8,0,3,8,2,2,2,2,21,19.9,-3,0,-1,40.55,23.23835616
414,415,4,17,0.235,1,5,0.2,4,6,0.667,0,4,5,0,0,5,0,13,1.6,-19,0,-14,35.3,23.24657534
415,416,11,18,0.611,1,2,0.5,3,3,1,3,6,9,3,1,1,4,26,29.1,7,1,3,41.7833333,23.24931507
416,417,11,19,0.579,1,4,0.25,6,6,1,2,2,5,3,2,4,6,29,23.6,3,1,4,31.2166667,23.25753425
417,418,10,24,0.417,3,7,0.429,10,14,0.714,0,5,4,2,2,3,4,33,21.7,-1,0,-3,38.5,23.26027397
418,419,6,22,0.273,1,5,0.2,4,8,0.5,5,2,9,2,2,5,1,17,10.8,-15,0,-15,42.3666667,23.26575342
419,420,11,21,0.524,1,4,0.25,10,13,0.769,4,3,8,1,2,0,2,33,32.4,10,1,21,35.3666667,23.27671233
420,421,13,21,0.619,2,6,0.333,6,12,0.5,0,6,2,3,0,3,2,34,24.5,-10,0,-5,38.1833333,23.28219178
421,422,3,9,0.333,0,1,0,7,9,0.778,0,11,7,1,2,5,1,13,12.3,-3,1,8,35.25,23.28767123
422,423,10,18,0.556,1,2,0.5,6,12,0.5,1,3,5,2,1,5,3,27,17.6,-5,1,1,41.6833333,23.29041096
423,424,12,19,0.632,0,2,0,8,14,0.571,0,6,4,1,2,1,1,32,26.7,9,1,7,41.4166667,23.30410959
424,425,9,19,0.474,2,6,0.333,10,17,0.588,1,8,12,1,2,1,2,30,29.6,34,1,30,39,23.30958904
425,426,10,19,0.526,0,4,0,2,4,0.5,0,7,3,1,1,4,3,22,12.6,-24,0,-36,35.95,23.31780822
426,427,11,25,0.44,3,8,0.375,9,14,0.643,2,10,7,2,0,5,5,34,23.2,3,1,3,44.3833333,23.3260274
427,428,8,21,0.381,3,9,0.333,15,18,0.833,2,8,7,1,2,5,0,34,27.4,-3,0,-1,44.0833333,23.33424658
